scenario,attr1,attr2,attr3,attr4,attr5
loose_leaf_tea,0.0,0.0,0.0,0.0,0.0
cutting_board,0.0,0.0,0.0,0.0,0.0
knee_pads,0.0,0.0,0.0,0.0,0.0
ice_cream,0.0,0.0,0.0,0.0,0.0
painters_tape,0.0,0.0,0.0,0.0,0.0
olive_pitter,0.0,0.0,0.0,0.0,0.0
wood_burner,0.0,0.0,0.0,0.0,0.0
hotel,0.0,0.0,0.0,0.0,0.0
hot_glue_sticks,0.0,0.0,0.0,0.0,0.0
scrunchie,0.0,0.0,0.0,0.0,0.0
rfid_wallet,-0.17430116978625412,0.6715933825742406,0.12204445799184123,-0.478814602382833,0.008601348502546683
blush,0.0,0.0,0.0,0.0,0.0
cocktail_kit,0.0,0.0,0.0,0.0,0.0
security_camera,0.0,0.0,0.0,0.0,0.0
shuffleboard_table,0.0,0.0,0.0,0.0,0.0
reusable_bag,0.0,0.0,0.0,0.0,0.0
luggage_tag,0.0,0.0,0.0,0.0,0.0
inversion_table,0.0,0.0,0.0,0.0,0.0
shower_curtain,0.0,0.0,0.0,0.0,0.0
milk_storage_bags,0.0,0.0,0.0,0.0,0.0
nail_file,0.0,0.0,0.0,0.0,0.0
pasta_maker,0.0,0.0,0.0,0.0,0.0
washing_machine,0.0,0.0,0.0,0.0,0.0
easel,0.0,0.0,0.0,0.0,0.0
salmon,0.0,0.0,0.0,0.0,0.0
magnetic_calendar,0.0,0.0,0.0,0.0,0.0
ham,0.0,0.0,0.0,0.0,0.0
snow_blower,0.0,0.0,0.0,0.0,0.0
ecg_monitor,0.0,0.0,0.0,0.0,0.0
dslr_camera,0.0,0.0,0.0,0.0,0.0
convertible,0.0,0.0,0.0,0.0,0.0
washi_tape,0.0,0.0,0.0,0.0,0.0
dry_bag,0.0,0.0,0.0,0.0,0.0
hair_dryer,0.0,0.0,0.0,0.0,0.0
balance_board,0.0,0.0,0.0,0.0,0.0
hoodie,0.0,0.0,0.0,0.0,0.0
loan,0.0,0.0,0.0,0.0,0.0
mold_test,0.0,0.0,0.0,0.0,0.0
boxing_gloves,0.0,0.0,0.0,0.0,0.0
citrus_juicer,0.0,0.0,0.0,0.0,0.0
stopwatch,0.0,0.0,0.0,0.0,0.0
fins,0.0,0.0,0.0,0.0,0.0
lip_scrub,0.0,0.0,0.0,0.0,0.0
hoe,0.0,0.0,0.0,0.0,0.0
pilates_ring,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.0,0.0,0.0
sparkling_water,0.0,0.0,0.0,0.0,0.0
gas_can,0.0,0.0,0.0,0.0,0.0
golf_cart,0.0,0.0,0.0,0.0,0.0
tongs,0.0,0.0,0.0,0.0,0.0
sippy_cup,0.0,0.0,0.0,0.0,0.0
windshield_cover,0.0,0.0,0.0,0.0,0.0
console,0.0,0.0,0.0,0.0,0.0
stapler,0.0,0.0,0.0,0.0,0.0
jewelry_kit,0.0,0.0,0.0,0.0,0.0
antenna,0.0,0.0,0.0,0.0,0.0
house,0.0,0.0,0.0,0.0,0.0
electric_grill,0.0,0.0,0.0,0.0,0.0
tea,0.9077773002169134,0.2300331188595039,-1.1381917805265798,-0.398183468270021,-0.19951849094188243
lint_roller,0.0,0.0,0.0,0.0,0.0
diaper_bag,0.0,0.0,0.0,0.0,0.0
sponges,0.0,0.0,0.0,0.0,0.0
popcorn,0.0,0.0,0.0,0.0,0.0
recliner,0.0,0.0,0.0,0.0,0.0
arrows,0.0,0.0,0.0,0.0,0.0
pattern_weights,0.0,0.0,0.0,0.0,0.0
wheelbarrow,0.0,0.0,0.0,0.0,0.0
soil,0.0,0.0,0.0,0.0,0.0
sleeping_bag,0.0,0.0,0.0,0.0,0.0
paper_towel,0.0,0.0,0.0,0.0,0.0
outdoor_tv_cover,0.0,0.0,0.0,0.0,0.0
tamper,0.0,0.0,0.0,0.0,0.0
garment_steamer,0.0,0.0,0.0,0.0,0.0
alcohol_markers,0.0,0.0,0.0,0.0,0.0
rabbit,0.0,0.0,0.0,0.0,0.0
bracelet,0.3765158684903847,0.3450260147944915,0.31747474604377296,-0.5598559252039577,-0.47579571143299865
adapter,0.0,0.0,0.0,0.0,0.0
night_light,0.0,0.0,0.0,0.0,0.0
travel_wallet,0.0,0.0,0.0,0.0,0.0
central_vacuum,0.0,0.0,0.0,0.0,0.0
microwave_cover,0.0,0.0,0.0,0.0,0.0
porch_swing,0.0,0.0,0.0,0.0,0.0
stability_ball,0.0,0.0,0.0,0.0,0.0
ink_cartridge,0.0,0.0,0.0,0.0,0.0
wood_glue,0.032751000118967734,-0.15101313001097957,0.9057646991932473,0.6504034005522981,-1.2844299115133704
sleep_sack,0.0,0.0,0.0,0.0,0.0
mixer,0.0,0.0,0.0,0.0,0.0
dominoes,0.0,0.0,0.0,0.0,0.0
crochet_hook,0.0,0.0,0.0,0.0,0.0
sawhorse,0.0,0.0,0.0,0.0,0.0
stockings,0.0,0.0,0.0,0.0,0.0
fabric_markers,0.0,0.0,0.0,0.0,0.0
cherry_pitter,0.0,0.0,0.0,0.0,0.0
amusement_park,0.0,0.0,0.0,0.0,0.0
snow_brush,0.0,0.0,0.0,0.0,0.0
safety_pins,-0.5209374685372886,-0.16191398879375837,-0.8703529784658932,0.9318199935238464,0.8858514528972186
sewing_machine,0.0,0.0,0.0,0.0,0.0
pressure_cooker,0.0,0.0,0.0,0.0,0.0
necklace_stand,0.0,0.0,0.0,0.0,0.0
soccer_ball,0.0,0.0,0.0,0.0,0.0
