scenario,attr1,attr2,attr3,attr4,attr5
loose_leaf_tea,0.0,0.0,0.0,0.0,0.0
cutting_board,0.0,0.0,0.0,0.0,0.0
knee_pads,0.0,0.0,0.0,0.0,0.0
ice_cream,0.0,0.0,0.0,0.0,0.0
painters_tape,-1.6021342456015404,-0.9160037284830375,1.2250203485454394,-0.7927375721804277,0.8346107548920254
olive_pitter,0.0,0.0,0.0,0.0,0.0
wood_burner,0.323114348699309,-0.966214535309409,-0.2856306734737842,0.30695808864838353,0.9253404026227536
hotel,0.0,0.0,0.0,0.0,0.0
hot_glue_sticks,0.5218764940213767,0.6864532494434327,0.21656780325527647,-0.8207482676432096,0.1204348590764473
scrunchie,0.0,0.0,0.0,0.0,0.0
rfid_wallet,0.0,0.0,0.0,0.0,0.0
blush,0.0,0.0,0.0,0.0,0.0
cocktail_kit,0.0,0.0,0.0,0.0,0.0
security_camera,0.0,0.0,0.0,0.0,0.0
shuffleboard_table,0.0,0.0,0.0,0.0,0.0
reusable_bag,0.8316039365240665,-0.3915238024141285,0.06676956070617153,0.9334832531572791,1.1615819579185656
luggage_tag,-0.8489598950854699,0.32618291630022395,0.4662787646420152,-2.102852447843709,1.663216990544523
inversion_table,0.0,0.0,0.0,0.0,0.0
shower_curtain,0.0,0.0,0.0,0.0,0.0
milk_storage_bags,0.0,0.0,0.0,0.0,0.0
nail_file,0.0,0.0,0.0,0.0,0.0
pasta_maker,1.370802163726901,0.6176000470637361,-0.5924125434597713,0.47388563044964815,0.7390331371181119
washing_machine,1.4964174762135807,-0.3264479066042396,-0.7749359063473314,0.7060116913692056,0.7866075769960628
easel,0.7165734184480255,-0.5087797901165182,2.979850673849569,-1.9915543987258186,2.6235639032188462
salmon,0.0,0.0,0.0,0.0,0.0
magnetic_calendar,0.0,0.0,0.0,0.0,0.0
ham,0.0,0.0,0.0,0.0,0.0
snow_blower,0.39343559666166467,-0.07823022984678697,-0.8304880652915982,-0.7413399269040478,0.5222308876365167
ecg_monitor,0.0,0.0,0.0,0.0,0.0
dslr_camera,0.0,0.0,0.0,0.0,0.0
convertible,0.0,0.0,0.0,0.0,0.0
washi_tape,-1.1025181481071082,-0.10356561753266487,0.1297230606504806,-0.20909913401023547,2.2024589534177212
dry_bag,0.0,0.0,0.0,0.0,0.0
hair_dryer,0.0,0.0,0.0,0.0,0.0
balance_board,0.0,0.0,0.0,0.0,0.0
hoodie,0.0,0.0,0.0,0.0,0.0
loan,0.3248036193750591,-1.0077998014249354,-0.29999494730941695,0.4348952147082309,0.16479150581737345
mold_test,0.0,0.0,0.0,0.0,0.0
boxing_gloves,0.0,0.0,0.0,0.0,0.0
citrus_juicer,0.0,0.0,0.0,0.0,0.0
stopwatch,0.8988471667825471,-0.5979782180483153,-0.944090198715066,-0.03293028185490401,0.7668451966514119
fins,0.23954488339260657,1.523564545684574,0.23192186675530643,1.5551166439855715,-0.919480567197581
lip_scrub,0.0,0.0,0.0,0.0,0.0
hoe,0.0,0.0,0.0,0.0,0.0
pilates_ring,0.0,0.0,0.0,0.0,0.0
oven,0.3488483812001455,1.5592759454028422,-0.28989726725297976,0.7029968869737078,0.6082780317302502
sparkling_water,0.0,0.0,0.0,0.0,0.0
gas_can,0.23846263904510845,-0.023157782229488215,0.1572904536206376,1.146451285907896,1.102446375807184
golf_cart,0.9744908569354923,0.130443692870645,-0.03342997381075487,-0.12111126642811337,0.006153352346954648
tongs,0.0,0.0,0.0,0.0,0.0
sippy_cup,0.3595428420152683,-0.6989789149004368,1.5305617038710175,-1.4412277203989783,-1.3895960826728764
windshield_cover,0.0,0.0,0.0,0.0,0.0
console,0.0,0.0,0.0,0.0,0.0
stapler,0.0,0.0,0.0,0.0,0.0
jewelry_kit,-1.116822413489954,1.2054627207938022,-0.627139777873374,0.5644430512566101,-0.7112814073792584
antenna,0.0,0.0,0.0,0.0,0.0
house,0.0,0.0,0.0,0.0,0.0
electric_grill,0.7731845312763372,-0.8673939040742455,-0.7967201415595206,-0.03834759816754501,0.3144404245675309
tea,0.0,0.0,0.0,0.0,0.0
lint_roller,0.0,0.0,0.0,0.0,0.0
diaper_bag,0.0,0.0,0.0,0.0,0.0
sponges,0.0,0.0,0.0,0.0,0.0
popcorn,0.0,0.0,0.0,0.0,0.0
recliner,0.0,0.0,0.0,0.0,0.0
arrows,0.0,0.0,0.0,0.0,0.0
pattern_weights,0.23732677559457319,-0.5579063526860302,-0.03290553399705602,-0.07387437606326674,0.4541590068048841
wheelbarrow,-0.499046982393913,-0.08760801562145848,0.30928988731108803,0.046765151312348055,1.5217121402205682
soil,0.0,0.0,0.0,0.0,0.0
sleeping_bag,0.0,0.0,0.0,0.0,0.0
paper_towel,-0.6192173071447016,1.082271306606608,-0.10796881529170581,0.0311793348487746,-0.058795250764992806
outdoor_tv_cover,0.0,0.0,0.0,0.0,0.0
tamper,0.0,0.0,0.0,0.0,0.0
garment_steamer,0.0,0.0,0.0,0.0,0.0
alcohol_markers,0.0,0.0,0.0,0.0,0.0
rabbit,0.0,0.0,0.0,0.0,0.0
bracelet,0.17446732257543227,-0.9392380221734513,1.1310054363979531,-0.8192179077005307,-0.1046234306994879
adapter,0.4933130155108227,0.4499544039827671,-1.0399557464504594,0.5352882864056029,0.6427583600974863
night_light,0.0,0.0,0.0,0.0,0.0
travel_wallet,0.0,0.0,0.0,0.0,0.0
central_vacuum,0.0,0.0,0.0,0.0,0.0
microwave_cover,-0.5483103646274494,0.6099752250653915,-0.00929498876035467,-1.8854781237307405,0.22652492016509185
porch_swing,0.0,0.0,0.0,0.0,0.0
stability_ball,0.0,0.0,0.0,0.0,0.0
ink_cartridge,0.1598636757257159,0.020776970332457706,-1.6905631756670132,-0.7454732784714826,0.4453847766510254
wood_glue,0.0,0.0,0.0,0.0,0.0
sleep_sack,0.0,0.0,0.0,0.0,0.0
mixer,0.5024906032557174,-0.6747608341998698,0.3546198876578439,-0.6027754922280526,0.44553840509417636
dominoes,0.0,0.0,0.0,0.0,0.0
crochet_hook,0.0,0.0,0.0,0.0,0.0
